id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,año_servicio,mes_servicio,energía_activa_kWh,energía_reactiva_kVArh,potencia_máxima_kW,día_de_demanda_máxima_kW,fecha_de_demanda_máxima,promedio_diario_en_horas
19,CAUCA,19418,LÓPEZ DE MICAY,19418012,SAN ANTONIO DE CHUARÉ (LÓPEZ DE MICAY - CAUCA),2020,12,10.021,3.301,60.54,jueves,2020-12-24 18:45:00,742.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418019,ZARAGOZA (LOPEZ DE MICAY - CAUCA),2020,12,11.75,5.418,50.08,jueves,2020-12-24 20:30:00,941.0
19,CAUCA,19809,TIMBIQUÍ,19809014,CHACÓN (TIMBIQUÍ - CAUCA),2020,12,4.584,1.092,27.38,jueves,2020-12-31 21:45:00,659.0
19,CAUCA,19809,TIMBIQUÍ,19809003,COTEJE (TIMBIQUÍ - CAUCA),2020,12,7.629,4.343,32.36,sábado,2020-12-05 18:30:00,97.0
19,CAUCA,19809,TIMBIQUÍ,19809023,PUERTO SAIJA (TIMBIQUÍ - CAUCA),2020,12,33.577,11.703,163.33,jueves,2020-12-24 19:15:00,75.0
19,CAUCA,19809,TIMBIQUÍ,19809007,SAN JOSÉ (TIMBIQUÍ - CAUCA),2020,12,8.763,5.126,44.47,jueves,2020-12-31 19:30:00,732.0
19,CAUCA,19809,TIMBIQUÍ,19809008,SANTA MARÍA (TIMBIQUÍ - CAUCA),2020,12,17.433,6.834,78.53,miércoles,2020-12-30 19:00:00,941.0
27,CHOCÓ,27006,ACANDÍ,27006000,ACANDÍ (ACANDÍ - CHOCÓ),2020,12,589.832,244.762,1103.7,miércoles,2020-12-23 21:00:00,2349.0
27,CHOCÓ,27006,ACANDÍ,27006003,CAPURGANÁ (ACANDÍ - CHOCO),2020,12,296.79,114.181,760.67,jueves,2020-12-31 19:45:00,2017.0
27,CHOCÓ,27006,ACANDÍ,27006007,SAN FRANCISCO,2025,12,26.113,10.473,158592.0,jueves,2025-12-31 19:45:00,925.0
27,CHOCÓ,27006,ACANDÍ,27006007,SAN FRANCISCO (ACANDÍ - CHOCÓ),2020,12,22.437,7.054,122.5,jueves,2020-12-31 19:00:00,838.0
27,CHOCÓ,27025,ALTO BAUDÓ (PIE DE PATO),27025000,CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCÓ),2020,12,45.363,12.409,108.42,domingo,2020-12-07 00:15:00,2343.0
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075001,CUPICA (BAHÍA SOLANO - CHOCÓ),2020,12,58.899,22.302,132.36,domingo,2020-12-20 19:30:00,24.0
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075002,EL VALLE (BAHÍA SOLANO - CHOCÓ),2020,12,156.702,64.68,335.02,lunes,2020-12-28 19:00:00,2352.0
27,CHOCÓ,27077,BAJO BAUDÓ (PIZARRO),27077905,BUENAVISTA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2020,12,5.787,680.0,27.87,miércoles,2020-12-23 20:30:00,749.0
27,CHOCÓ,27077,BAJO BAUDÓ (PIZARRO),27077000,PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2020,12,203.289,95.365,392.3,lunes,2020-12-07 19:00:00,2345.0
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099000,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),2020,12,41.555,17.093,209.49,lunes,2020-12-07 18:45:00,802.0
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099002,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2020,12,12.909,6.126,60.8,sábado,2020-12-05 19:00:00,93.0
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099005,NAPIPÍ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2020,12,10.766,3.467,60.8,jueves,2020-12-31 22:00:00,637.0
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099008,PUERTO CONTO (BOJAYÁ (BELLAVISTA) - CHOCO),2020,12,10.426,2.632,69.6,miércoles,2020-12-23 20:15:00,603.0
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250000,SANTA GENOVEVA DE DOCORDÓ (EL LITORAL DEL SAN JUAN - CHOCÓ),2020,12,70.724,35.325,169.75,jueves,2020-12-10 20:00:00,177.0
27,CHOCÓ,27372,JURADÓ,27372000,JURADÓ (JURADÓ - CHOCÓ),2020,12,158.215,78.341,286.4,jueves,2020-12-17 21:00:00,2357.0
27,CHOCÓ,27425,MEDIO ATRATO (BETÉ),27425000,BETÉ (MEDIO ATRATO (BETÉ) - CHOCÓ),2020,12,20.83,10.015,76.0,jueves,2020-12-31 19:00:00,124.0
27,CHOCÓ,27495,NUQUÍ,27495001,ARUSÍ (NUQUÍ - CHOCO),2020,12,9.074,3.826,49.6,miércoles,2020-12-16 19:00:00,745.0
27,CHOCÓ,27495,NUQUÍ,27495000,NUQUÍ (NUQUÍ - CHOCÓ),2020,12,243.554,78.214,473.79,miércoles,2020-12-23 19:15:00,24.0
27,CHOCÓ,27495,NUQUÍ,27495011,PUERTO JAGUA (NUQUÍ - CHOCÓ),2020,12,1.196,1.079,6.17,jueves,2020-12-24 19:15:00,101.0
27,CHOCÓ,27800,UNGUÍA,27800001,BALBOA (UNGUÍA - CHOCÓ),2020,12,20.64,8.643,88.13,jueves,2020-12-24 19:30:00,1022.0
27,CHOCÓ,27800,UNGUÍA,27800005,TITUMATE (UNGUÍA - CHOCÓ),2020,12,14.101,5.866,77.44,miércoles,2020-12-23 21:15:00,803.0
94,GUAINÍA,94343,BARRANCOMINAS,94343000,BARRANCOMINAS (BARRANCOMINAS - GUAINÍA),2020,12,46.649,16.597,177.92,miércoles,2020-12-23 18:00:00,1041.0
94,GUAINÍA,94001,INÍRIDA,94001000,INÍRIDA (INÍRIDA - GUAINÍA),2020,12,,528.98,2949.76,jueves,2020-12-03 14:15:00,24.0
95,GUAVIARE,95200,MIRAFLORES,95200000,MIRAFLORES (MIRAFLORES - GUAVIARE),2020,12,85.279,30.687,194.48,lunes,2020-12-28 18:15:00,1919.0
44,LA GUAJIRA,44847,URIBIA,44847012,NAZARETH (URIBIA - LA GUAJIRA),2020,12,31.022,14.828,209.52,martes,2020-12-01 18:30:00,729.0
47,MAGDALENA,47189,CIÉNAGA,47189018,PALMOR (CIÉNAGA - MAGDALENA),2020,12,90.408,35.239,194.88,domingo,2020-12-27 18:30:00,232.0
50,META,50325,MAPIRIPÁN,50325000,MAPIRIPÁN (MAPIRIPÁN - META),2020,12,150.46,62.899,298.32,viernes,2020-12-11 18:45:00,2346.0
52,NARIÑO,52250,EL CHARCO,52250023,BAZÁN (EL CHARCO - NARIÑO),2020,12,21.149,11.563,105.6,jueves,2020-12-31 19:45:00,823.0
52,NARIÑO,52250,EL CHARCO,52250003,BOLÍVAR - SAN PEDRO (EL CHARCO - NARIÑO),2020,12,4.061,2.199,25.34,jueves,2020-12-17 18:15:00,727.0
52,NARIÑO,52250,EL CHARCO,52250022,EL CUIL PUEBLO NUEVO (EL CHARCO - NARIÑO),2020,12,7.867,8.361,38.98,jueves,2020-12-31 19:45:00,813.0
52,NARIÑO,52250,EL CHARCO,52250007,SAN JOSÉ DEL TAPAJE (EL CHARCO - NARIÑO),2020,12,16.442,2.952,80.0,domingo,2020-12-27 20:45:00,811.0
52,NARIÑO,52520,FRANCISCO PIZARRO,52520013,SAN PEDRO DEL VINO (FRANCISCO PIZARRO - NARIÑO),2020,12,5.683,2.841,29.02,lunes,2020-12-07 18:30:00,758.0
52,NARIÑO,52390,LA TOLA,52390013,AMÁRALES (LA TOLA - NARIÑO),2020,12,11.516,3.38,63.94,martes,2020-12-22 19:45:00,723.0
52,NARIÑO,52390,LA TOLA,52390003,LA VIGÍA DE LA MAR (LA TOLA - NARIÑO),2020,12,6.07,2.214,31.88,viernes,2020-12-25 18:45:00,821.0
52,NARIÑO,52390,LA TOLA,52390009,MULATOS (LA TOLA - NARIÑO),2020,12,3.883,1.652,34.82,lunes,2020-12-07 18:30:00,6.0
52,NARIÑO,52490,OLAYA HERRERA,52490913,BOCA DE PRIETA (OLAYA HERRERA - NARIÑO),2020,12,2.52,664.0,15.84,jueves,2020-12-31 19:15:00,629.0
52,NARIÑO,52490,OLAYA HERRERA,52490008,SAN JOSÉ CALABAZAL (OLAYA HERRERA - NARIÑO),2020,12,8.018,3.357,45.84,jueves,2020-12-31 18:30:00,641.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835055,BOCAS DE CURAY (TUMACO - NARIÑO),2020,12,11.186,6.296,62.4,jueves,2020-12-31 19:45:00,754.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835012,CHAJAL (TUMACO - NARIÑO),2020,12,22.474,7.855,141.15,miércoles,2020-12-16 20:00:00,615.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835016,PITAL DE LA COSTA (TUMACO - NARIÑO),2020,12,21.115,12.242,88.0,jueves,2020-12-31 20:00:00,1008.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835212,PUEBLO NUEVO (TABLÓN SALADO) (TUMACO - NARIÑO),2020,12,3.539,1.343,19.42,sábado,2020-12-19 19:45:00,846.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835217,SAN JUAN DE LA COSTA (SAN ANDRÉS DE TUMACO - NARIÑO),2020,12,30.882,11.139,137.6,martes,2020-12-22 18:45:00,1009.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835091,SANTA ROSA (TUMACO - NARIÑO),2020,12,3.125,1.063,29.79,jueves,2020-12-24 19:15:00,406.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835148,TABLÓN DULCE LA PAMPA (TUMACO - NARIÑO),2020,12,2.588,1.17,26.62,domingo,2020-12-20 19:15:00,423.0
52,NARIÑO,52696,SANTA BÁRBARA (ISCUANDÉ),52696014,LA ENSENADA (SANTA BÁRBARA (ISCUANDÉ) - NARIÑO),2020,12,1.286,1.161,17.47,jueves,2020-12-31 21:30:00,307.0
52,NARIÑO,52696,SANTA BÁRBARA (ISCUANDÉ),52696022,SECADERO (SANTA BÁRBARA (ISCUANDÉ) - NARIÑO),2020,12,3.156,1.964,13.46,jueves,2020-12-24 20:00:00,923.0
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,86573009,PIÑUÑA NEGRO (PUERTO LEGUÍZAMO - PUTUMAYO),2020,12,4.154,2.386,28.8,jueves,2020-12-31 21:00:00,622.0
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,86573000,PUERTO LEGUÍZAMO (PUERTO LEGUÍZAMO - PUTUMAYO),2020,12,892.529,312.804,1892.53,lunes,2020-12-14 15:00:00,2343.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,PUERTO MERIZALDE (BUENAVENTURA - VALLE DEL CAUCA),2020,12,48.844,16.493,288.46,domingo,2020-12-20 20:00:00,715.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,SAN FRANCISCO NAYA (BUENAVENTURA - VALLE DEL CAUCA),2020,12,5.242,2.668,34.4,jueves,2020-12-24 20:45:00,614.0
97,VAUPÉS,97161,CARURÚ,97161000,CARURÚ (CARURÚ - VAUPÉS),2020,12,19.43,5.606,72.51,lunes,2020-12-28 18:45:00,1222.0
97,VAUPÉS,97001,MITÚ,97001000,MITÚ (MITÚ - VAUPÉS),2020,12,,390.514,2628.78,lunes,2020-12-15 00:00:00,24.0
97,VAUPÉS,97666,TARAIRA,97666000,TARAIRA (TARAIRA - VAUPÉS),2020,12,29.185,9.632,115.37,miércoles,2020-12-24 00:30:00,1027.0
99,VICHADA,99773,CUMARIBO,99773000,CUMARIBO (CUMARIBO - VICHADA),2020,12,302.059,132.241,600.16,miércoles,2020-12-16 14:15:00,2351.0
99,VICHADA,99524,LA PRIMAVERA,99524000,LA PRIMAVERA (LA PRIMAVERA - VICHADA),2020,12,337.755,155.047,705.24,lunes,2020-12-28 19:00:00,24.0
99,VICHADA,99001,PUERTO CARREÑO,99001002,CASUARITO (PUERTO CARREÑO - VICHADA),2020,12,30.719,11.274,105.07,viernes,2020-12-18 20:30:00,1148.0
99,VICHADA,99001,PUERTO CARREÑO,99001000,PUERTO CARREÑO (PUERTO CARREÑO - VICHADA),2020,12,,777.076,4216.08,miércoles,2020-12-09 14:45:00,24.0
99,VICHADA,99624,SANTA ROSALÍA,99624000,SANTA ROSALÍA (SANTA ROSALÍA - VICHADA),2020,12,134.784,66.505,325.39,miércoles,2020-12-23 20:45:00,1701.0
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2021,1,,,6669.81,lunes,2021-01-18 15:00:00,24.0
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2021,1,101.522,36.398,201.17,jueves,2021-01-28 19:15:00,24.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873001,SAN ANTONIO DE PADUA (VIGÍA DEL FUERTE - ANTIOQUIA),2021,1,3.729,1.427,31.81,sábado,2021-01-30 19:30:00,438.0
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,88001000,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2021,1,,,24257.73,lunes,2021-01-25 15:30:00,24.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2021,1,18.181,9.623,135.27,viernes,2021-01-01 14:45:00,532.0
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150001,REMOLINO DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2021,1,17.0,8.236,84.97,sábado,2021-01-30 18:45:00,835.0
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2021,1,11.816,5.099,42.58,sábado,2021-01-02 19:00:00,1708.0
